Id,Time,Lat,Lon,Alt,SSID,MAC,Channel,Signal
0,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,f0:b0:52:3e:c8:1c,52,-82
2,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,f0:b0:52:3e:cc:7c,44,-65
4,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,f0:b0:52:3e:d6:f8,6,-58
6,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,ec:8c:a2:26:d2:98,11,-73
8,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,f0:b0:52:3e:cc:78,6,-64
10,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,8c:0c:90:2d:79:88,6,-82
12,01/11/2017 12:28,32.1050652,35.20657538,708.0,__ery,14:ae:db:58:0d:6d,6,-85
14,01/11/2017 12:28,32.1050652,35.20657538,708.0,HOT mobile,42507_10072_480148,0,-67
16,01/11/2017 12:28,32.10505433,35.20660488,717.0,Ariel_University,f0:b0:52:3e:d0:08,6,-85
18,01/11/2017 12:28,32.10506486,35.20656874,710.0,Ariel_University,ec:8c:a2:26:d2:98,11,-58
20,01/11/2017 12:28,32.10506486,35.20656874,710.0,Eyal6720,a8:c8:3a:35:b0:2b,1,-79
22,01/11/2017 12:28,32.10506486,35.20656874,710.0,Ariel_University,f0:b0:52:3e:c8:08,1,-85
24,01/11/2017 12:29,32.105072,35.20655518,715.0,Smart-Class 2.4,1c:b9:c4:16:05:d8,2,-88
26,01/11/2017 12:29,32.10507249,35.20655446,715.0,Ariel_University,24:c9:a1:35:a6:98,6,-88
28,01/11/2017 12:29,32.10507308,35.20655392,715.0,Ariel_University,f0:b0:52:3e:c8:1c,52,-77
30,01/11/2017 12:29,32.10507254,35.20655494,715.0,Ariel_University,f0:b0:52:3e:c8:18,11,-70
32,01/11/2017 12:29,32.10507133,35.20655616,714.0,Redmi,c4:0b:cb:81:0c:45,6,-58
34,01/11/2017 12:29,32.10507092,35.20655706,714.0,Smart-Class 2.4,1c:b9:c4:16:05:d8,2,-82
36,01/11/2017 12:29,32.10507092,35.20655706,714.0,Ariel_University,f0:b0:52:3e:cc:1c,36,-78
38,01/11/2017 12:29,32.10507092,35.20655706,714.0,Ariel_University,8c:0c:90:30:04:c8,2,-82
40,01/11/2017 12:29,32.10506844,35.20655937,713.0,Ariel_University,8c:0c:90:30:05:18,1,-85
