Id,Time,Lat,Lon,Alt,SSID,MAC,Channel,Signal
0,01/12/2017 10:42:54,32.17224246105308,34.8144489381276,7.777438959165592,HOTBOX-D88A,c0:ac:54:f5:b4:c9,1,-92
1,01/12/2017 10:43:00,32.172238019565235,34.81444473498782,10.580361150029846,Efrat,b4:ee:b4:86:c0:f1,11,-74
2,01/12/2017 10:43:06,32.172252019523675,34.814391891326764,17.18081811626479,angela,80:1f:02:f5:d8:e8,1,-89
3,01/12/2017 10:43:18,32.172265215924426,34.81421445142988,22.818991521293682,KarvatB0.5,14:ae:db:cc:ed:6d,48,-89
4,01/12/2017 10:43:29,32.172366099853186,34.81364128562379,32.76888540862057,Bezeq Free GA32E3,52:b0:ce:ac:32:98,1,-80
5,01/12/2017 10:43:33,32.17238058500455,34.81341290942063,25.130925493340825,dobry2016,6c:b0:ce:ac:32:9b,1,-69
6,01/12/2017 10:43:37,32.172408855520956,34.81324034002203,26.58806635315526,DIR-825-4f83,80:26:89:0d:4f:84,1,-66
7,01/12/2017 10:43:37,32.172322174361504,34.81240389542078,28.177433941475645,Partner,42501_13111_7943940,0,-105
9,01/12/2017 10:43:45,32.172184995702935,34.81285181946231,34.6251667942297,ELDAD,10:0d:7f:80:17:80,11,-78
10,01/12/2017 10:43:45,32.17248344093608,34.81270507338805,27.122038414759338,Eldad_2EX,80:1f:02:e8:b9:cc,11,-82
11,01/12/2017 10:43:57,32.17240151409594,34.812091884783165,29.035709105267408,urigil1,a0:ab:1b:5d:c2:60,10,-90
12,01/12/2017 10:43:57,32.169968163991726,34.81139053978068,34.45635092095175,INGENEO,cc:b2:55:e8:4c:e6,6,-91
14,01/12/2017 10:44:01,32.17217553070084,34.81201239183262,29.32418162501339,Helen.,a0:ab:1b:57:cd:42,10,-79
15,01/12/2017 10:44:01,32.17217553070084,34.81201239183262,29.32418162501339,U2I8L1M0X42,54:64:d9:66:29:ef,11,-85
17,01/12/2017 10:44:05,32.17188758190333,34.81190851897319,29.638531482264742,Liza,8c:59:c3:ea:db:4a,1,-78
18,01/12/2017 10:44:11,32.1720251642252,34.811974827179434,42.039852570135,varda,c4:12:f5:85:27:c2,1,-87
