Id,Time,Lat,Lon,Alt,SSID,MAC,Channel,Signal
0,01/11/2017 12:28,32.1050652,35.20657538,708.0,Ariel_University,f0:b0:52:3e:c8:1c,52,-82
120,01/11/2017 03:49,32.09331421,35.10713824,442.0,afikim-wifi,00:1a:dd:e3:06:04,1,-79
123,01/11/2017 03:49,32.09303634,35.10597065,422.0,afikim-wifi,00:1a:dd:e3:06:04,1,-79
125,01/11/2017 03:49,32.09287171,35.10484776,403.0,afikim-wifi,00:1a:dd:e3:06:04,1,-88
127,01/11/2017 03:49,32.09276595,35.10365093,396.0,afikim-wifi,00:1a:dd:e3:06:04,1,-88
129,01/11/2017 03:49,32.09274013,35.10244752,387.0,afikim-wifi,00:1a:dd:e3:06:04,1,-88
131,01/11/2017 03:49,32.09277614,35.10126158,380.0,afikim-wifi,00:1a:dd:e3:06:04,1,-88
133,01/11/2017 03:50,32.09273295,35.1000257,376.0,afikim-wifi,00:1a:dd:e3:06:04,1,-88
135,01/11/2017 03:50,32.09271253,35.09880775,372.0,afikim-wifi,00:1a:dd:e3:06:04,1,-88
138,01/11/2017 03:50,32.09256813,35.09643768,374.0,Afikim_Wifi,00:1a:dd:f5:cb:a5,11,-88
140,01/11/2017 03:50,32.09254292,35.09522214,375.0,Afikim_Wifi,00:1a:dd:f5:cb:a5,11,-76
142,01/11/2017 03:50,32.09248022,35.09402746,378.0,Afikim_Wifi,00:1a:dd:f5:cb:a5,11,-88
145,01/11/2017 03:50,32.09245907,35.09286293,383.0,Afikim_Wifi,00:1a:dd:f5:cb:a5,11,-88
160,01/11/2017 03:50,32.09385345,35.08480222,385.0,Afikim_Wifi,00:1a:dd:f5:0c:05,12,-88
162,01/11/2017 03:50,32.09392611,35.08451138,385.0,Afikim_Wifi,00:1a:dd:f5:0c:05,12,-70
164,01/11/2017 03:51,32.09436429,35.08299722,379.0,Afikim_Wifi,00:1a:dd:f5:0c:05,12,-70
166,01/11/2017 03:51,32.09487917,35.08119229,375.0,Afikim_Wifi,00:1a:dd:f5:0c:05,12,-70
169,01/11/2017 03:51,32.09533654,35.07945977,372.0,Afikim_Wifi,00:1a:dd:f5:0c:05,12,-70
197,01/11/2017 03:51,32.09927743,35.06513515,320.0,Afikim_Wifi,00:1a:dd:f4:fc:85,3,-76
203,01/11/2017 03:52,32.09969767,35.06352658,316.0,Afikim_Wifi,00:1a:dd:f4:fc:85,3,-73
405,01/11/2017 03:58,32.10791678,35.00764942,134.0,Afikim_Wifi,00:1a:dd:f5:c1:45,9,-85
406,01/11/2017 03:58,32.10791678,35.00764942,134.0,Afikim_Wifi,00:1a:dd:f1:30:85,6,-88
